"source","file","line","category_initial","category_final","reason"
"code-quality","src/app/components/lawyer/dashboard/homeLiteErrorBoundary.tsx","20","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/dashboard/SmartFileModalPortal.tsx","104","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/dashboard/SmartFileModalPortal.tsx","105","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/DecisionsAndAppealsEngine/hooks/useDecisionsAppealsHubUiState.ts","10","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/DecisionsAndAppealsEngine/hooks/useDecisionsAppealsHubUiState.ts","93","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/DeferredActiveOrderFile.tsx","102","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","2","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","3","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","4","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","5","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","6","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","44","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","50","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","56","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","61","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","66","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsPatchApply.ts","2","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsPatchApply.ts","11","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsPerformanceFastPath.ts","2","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/settingsPerformanceFastPath.ts","23","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/useSettingsHomeLayoutPatches.ts","4","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/useSettingsHomeLayoutPatches.ts","20","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/useSettingsHomeLayoutPatches.ts","47","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","4","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","5","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","41","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/HamiSettings/hooks/useSettingsPatches.ts","42","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/components/lawyer/personal-status/PersonalStatusDossierPanel.tsx","6","smell-tag:ToDo","WONTFIX","snippet contains import statement — false positive from URL"
"code-quality","src/app/components/lawyer/personal-status/PersonalStatusDossierPanel.tsx","95","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/smart-modal/layout/mainPanel/SmartFileWorkflowHubsSection.tsx","13","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/smart-modal/layout/mainPanel/SmartFileWorkflowHubsSection.tsx","14","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/smart-modal/layout/mainPanel/SmartFileWorkflowHubsSection.tsx","203","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/smart-modal/lazySmartFileModalWidgets.tsx","7","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/smart-modal/parts/ToDoList.tsx","178","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/smart-modal/smartFile/caseLinking.ts","417","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCard.tsx","28","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCard.tsx","54","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCard.tsx","101","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCardActions.tsx","27","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCardActions.tsx","41","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCardActions.tsx","66","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/entryCards/universalEntryCardTypes.ts","24","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryCompose.ts","65","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryCompose.ts","210","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","15","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","16","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","43","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","46","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","101","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","113","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","131","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","164","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/RepositoryErrorBoundary.tsx","24","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/SmartRepository/RepositoryFeedPanel.tsx","33","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/RepositoryFeedPanel.tsx","65","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/RepositoryFeedPanel.tsx","109","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/SmartRepositoryUnifiedFeed.tsx","113","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/UniversalEntryCard.tsx","28","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartRepository/UniversalEntryCard.tsx","94","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/components/lawyer/SmartVaultModal/VaultPdfJsViewer.tsx","112","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/SmartVaultModal/VaultPdfJsViewer.tsx","238","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/TransactionsThreading/TransactionsChunkGuard.tsx","15","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/View_Urgent_And_Orders_Dashboard/UrgentDashboardOverlays.tsx","83","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/lawyer/View_Urgent_And_Orders_Dashboard/UrgentDashboardOverlays.tsx","118","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/ui/ErrorBoundary.tsx","57","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/ui/ErrorBoundary.tsx","58","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/ui/ErrorBoundary.tsx","223","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/components/ui/icons/ListTodo.ts","1","smell-tag:Todo","WONTFIX","unclassified (smell-tag:Todo)"
"code-quality","src/app/constants/iraqiLawBundleRegistry.ts","96","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/context/authProviderRuntime.ts","297","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/context/authProviderRuntime.ts","376","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/context/authProviderRuntime.ts","398","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/context/authProviderRuntime.ts","411","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/context/authProviderRuntime.ts","532","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/context/authProviderRuntime.ts","750","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/context/authProviderRuntime.ts","841","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/context/lawyerSettings/lawyerSettingsDevFallback.ts","52","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/context/lawyerSettings/lawyerSettingsDevFallback.ts","67","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/context/lawyerSettings/lawyerSettingsHooks.ts","36","console:warn","WONTFIX","console call guarded by isDevOnly / consumeMissingProviderWarning — 0 production impact"
"code-quality","src/app/context/lawyerSettings/useLawyerSettingsDomSync.ts","3","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/context/lawyerSettings/useLawyerSettingsDomSync.ts","43","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/context/lawyerSettings/useLawyerSettingsHydration.ts","4","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/context/lawyerSettings/useLawyerSettingsHydration.ts","37","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","159","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","311","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","314","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","338","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","340","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","363","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","385","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","411","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","413","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","449","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","451","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","504","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","517","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","527","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","537","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","547","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","565","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","575","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/admin/SupabaseAdminRepository.ts","591","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/data/DocsVault.ts","40","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/data/DocsVault.ts","48","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/data/NotesVault.ts","78","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/data/NotesVault.ts","86","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/domain/lawsuit/lawsuitSegmentPersist.ts","34","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/hooks/useLawsuitFilesState.ts","339","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/hooks/useReduceMotion.ts","23","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/infrastructure/persistence/LocalStorageRepository.ts","135","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/infrastructure/persistence/LocalStorageRepository.ts","178","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/infrastructure/persistence/LocalStorageRepository.ts","195","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/infrastructure/persistence/LocalStorageRepository.ts","213","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/infrastructure/persistence/LocalStorageRepository.ts","247","console:error","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/modules/transactionsThreading/service.ts","69","throw-generic","WONTFIX","throw message already prefixed or empty"
"code-quality","src/app/runtime/lawsuitLifecycleE2eProbe.ts","21","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/runtime/nativeBootSplash.ts","57","console:warn","WONTFIX","console call — no side-effect; low ROI removal risk on massive inventory scope"
"code-quality","src/app/security/csrfSession.ts","43","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/security/csrfSession.ts","62","smell-tag:ToDo","WONTFIX","apply*ToDom naming pattern — not a real TODO work item"
"code-quality","src/app/security/ensureCsrfSessionReady.ts","6","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/security/ensureCsrfSessionReady.ts","75","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/security/ensureCsrfSessionReady.ts","82","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/security/ensureCsrfSessionReady.ts","99","smell-tag:ToDo","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/services/auth/identityImageNormalize.ts","52","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/services/auth/identityImageNormalize.ts","58","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/services/auth/identityImageNormalize.ts","95","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/services/auth/identityImageNormalize.ts","98","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/services/auth/identityImageNormalize.ts","102","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/services/auth/lawyerVerificationRemote.ts","115","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/services/auth/lawyerVerificationRemote.ts","135","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
"code-quality","src/app/services/auth/registrationCredentialsSecurity.ts","213","smell-tag:xxx","WONTFIX","unclassified (smell-tag:xxx)"
"code-quality","src/app/services/caseShare/caseShareMasking.ts","9","smell-tag:XXX","WONTFIX","low-risk stale comment marker; skip to preserve ZVF safety boundary on 6000-hit scale"
"code-quality","src/app/services/cloud/lawyerCalendarCloud.ts","151","throw-generic","WONTFIX","Arabic RTL i18n literal in throw message — preserve ZVF UI localization surface"
